Date,Sound,Flame,Humidity,Temperature
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:56,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:57,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:58,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:30:59,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:00,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:01,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
2022-04-05 23:31:02,0,0,34,25
